,Date,Open,High,Low,Close,Adj Close,Volume,rsi,macd,macd_signal,bb_bbu,bb_bbl,obv
0,2022-01-01,24.435548782348633,25.949871063232422,24.435548782348633,25.629119873046875,25.629119873046875,197515658,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-01-02,25.623632431030273,28.428451538085938,25.441579818725586,27.28641128540039,27.28641128540039,414983676,100.0,0.037182820148959905,0.020657122304977724,0.0,0.0,414983676.0
2,2022-01-03,27.292583465576172,29.414474487304688,26.57332992553711,29.292211532592773,29.292211532592773,476416796,100.0,0.10957803881499117,0.05710012087465536,0.0,0.0,891400472.0
3,2022-01-04,29.286043167114258,35.46028137207031,27.94780921936035,33.79536819458008,33.79536819458008,1131649553,100.0,0.302404080064818,0.14019766802579445,0.0,0.0,2023050025.0
4,2022-01-05,33.82432174682617,37.73334503173828,29.37691307067871,30.720823287963867,30.720823287963867,1327444662,70.18611217037002,0.27847328190147635,0.1813315369797693,0.0,0.0,695605363.0
5,2022-01-06,30.716182708740234,32.48130416870117,28.723426818847656,30.554908752441406,30.554908752441406,830434009,68.99075473467983,0.25175865220594673,0.2004212008779222,0.0,0.0,-134828646.0
6,2022-01-07,30.550790786743164,32.25,27.29425811767578,30.200275421142578,30.200275421142578,770422411,66.3880995309563,0.21422435727192735,0.2039144115265403,0.0,0.0,-905251057.0
7,2022-01-08,30.19759178161621,33.82196044921875,30.148536682128906,32.926177978515625,32.926177978515625,858047164,74.38659799572106,0.3152554210575147,0.23067174988498174,0.0,0.0,-47203893.0
8,2022-01-09,32.93012237548828,37.262939453125,32.87070846557617,36.04344177246094,36.04344177246094,1029548495,80.1917068030215,0.5350795910151405,0.3009914713611357,0.0,0.0,982344602.0
9,2022-01-10,36.061309814453125,37.56977844238281,32.368038177490234,34.47743225097656,34.47743225097656,1033849533,71.43286479763367,0.6025680354265788,0.36856212820731366,0.0,0.0,-51504931.0
10,2022-01-11,34.429996490478516,36.940330505371094,33.69791793823242,34.32025909423828,34.32025909423828,681669989,70.59940067368468,0.6345122448009981,0.4267504940960463,0.0,0.0,-733174920.0
11,2022-01-12,34.33521270751953,35.83202362060547,32.93561553955078,34.90937805175781,34.90937805175781,573101521,71.92181393669972,0.6816605951034518,0.48149449327558097,0.0,0.0,-160073399.0
12,2022-01-13,34.91270446777344,35.00287628173828,31.296220779418945,31.296220779418945,31.296220779418945,439962569,55.44883949100642,0.5034839395080084,0.48614822407858876,0.0,0.0,-600035968.0
13,2022-01-14,31.316726684570312,33.044158935546875,31.15973472595215,32.508453369140625,32.508453369140625,374442115,58.853892823241274,0.43383349283430306,0.4752039432694394,0.0,0.0,-225593853.0
14,2022-01-15,32.515167236328125,33.947181701660156,31.863502502441406,32.58089065551758,32.58089065551758,249267685,59.05527625753309,0.38006983196160604,0.45548326119180776,0.0,0.0,23673832.0
15,2022-01-16,32.57994079589844,33.00123977661133,30.682910919189453,31.162372589111328,31.162372589111328,259823412,53.53005052997096,0.2484645815880313,0.412880360215028,0.0,0.0,-236149580.0
16,2022-01-17,31.146100997924805,31.296281814575195,28.71556282043457,29.640544891357422,29.640544891357422,251107174,48.308167064852746,0.05083618246118604,0.3388034611900309,0.0,0.0,-487256754.0
17,2022-01-18,29.646570205688477,31.54205894470215,28.286405563354492,29.48185157775879,29.48185157775879,312305269,47.78469183102183,-0.11114488963112734,0.24716294219704388,0.0,0.0,-799562023.0
18,2022-01-19,29.476396560668945,29.520767211914062,26.25996208190918,26.539993286132812,26.539993286132812,302274109,39.28585335914349,-0.42299371289371024,0.11117177187006017,0.0,0.0,-1101836132.0
19,2022-01-20,26.538333892822266,28.477407455444336,24.8570499420166,24.869014739990234,24.869014739990234,169752054,35.43115896387985,-0.7671676116673432,-0.06654504018085722,37.20622019589979,24.617294742454707,-1271588186.0
20,2022-01-21,24.902814865112305,25.396814346313477,22.578109741210938,24.125795364379883,24.125795364379883,523243232,33.8406948813989,-1.0730617670790288,-0.2697223656224928,37.425677312831326,24.247505174656464,-1794831418.0
21,2022-01-22,24.153797149658203,25.243091583251953,18.61933135986328,20.500221252441406,20.500221252441406,592333248,27.383162911091418,-1.5402923852057882,-0.5257253380650546,38.42007245756128,22.574491026630607,-2387164666.0
22,2022-01-23,20.516969680786133,22.086811065673828,20.110116958618164,21.244489669799805,21.244489669799805,261785203,30.32255159365839,-1.8338273327245211,-0.7888992415230177,39.02838186642775,21.16140943148485,-2125379463.0
23,2022-01-24,21.24779510498047,21.770296096801758,18.582181930541992,20.70603370666504,20.70603370666504,415929577,29.39549602738174,-2.0771815505665643,-1.0477782247653098,39.11921509935907,19.761642749762025,-2541309040.0
24,2022-01-25,20.709257125854492,21.28090476989746,19.695209503173828,20.048688888549805,20.048688888549805,267114781,28.259612099306466,-2.2876876538898614,-1.2967005124046098,39.42843336977794,18.385211039401746,-2808423821.0
25,2022-01-26,20.041336059570312,21.719104766845703,19.71351432800293,19.7806339263916,19.7806339263916,358358341,27.788063205371827,-2.443567989925352,-1.526769348298761,39.612871506333825,17.12334542024088,-3166782162.0
26,2022-01-27,19.77522087097168,19.990772247314453,18.542272567749023,19.57045555114746,19.57045555114746,279880980,27.401970855089758,-2.5513651032885427,-1.7321851642640727,39.70434915546503,15.968885784110164,-3446663142.0
27,2022-01-28,19.565265655517578,20.36518096923828,18.96944236755371,20.33563995361328,20.33563995361328,218729870,31.15242883705946,-2.5509662605528725,-1.8962587479885222,39.27217257462124,15.14200856246372,-3227933272.0
