,Date,Open,High,Low,Close,Adj Close,Volume,rsi,macd,macd_signal,bb_bbu,bb_bbl,obv
0,2022-01-01,3.300000025774352e-05,3.400000059627928e-05,3.300000025774352e-05,3.400000059627928e-05,3.400000059627928e-05,608789558,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-01-02,3.400000059627928e-05,3.400000059627928e-05,3.400000059627928e-05,3.400000059627928e-05,3.400000059627928e-05,574109134,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-01-03,3.400000059627928e-05,3.400000059627928e-05,3.199999991920777e-05,3.300000025774352e-05,3.300000025774352e-05,720676202,0.0,-3.1009950661219424e-08,-1.270899617263091e-08,0.0,0.0,-720676202.0
3,2022-01-04,3.300000025774352e-05,3.300000025774352e-05,3.199999991920777e-05,3.199999991920777e-05,3.199999991920777e-05,717218977,0.0,-8.045854031196845e-08,-3.565938375370731e-08,0.0,0.0,-1437895179.0
4,2022-01-05,3.199999991920777e-05,3.300000025774352e-05,2.9000000722589903e-05,2.9999999242136255e-05,2.9999999242136255e-05,1138566779,0.0,-1.8521893928343642e-07,-8.014997023922881e-08,0.0,0.0,-2576461958.0
5,2022-01-06,2.9999999242136255e-05,3.199999991920777e-05,2.9000000722589903e-05,3.099999958067201e-05,3.099999958067201e-05,1172523092,22.123679754898006,-2.0195204596885528e-07,-1.1316510482636409e-07,0.0,0.0,-1403938866.0
6,2022-01-07,3.099999958067201e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9000000722589903e-05,2.9000000722589903e-05,1169467775,14.98376974532789,-2.998079151330876e-07,-1.603994209379035e-07,0.0,0.0,-2573406641.0
7,2022-01-08,2.9000000722589903e-05,2.9999999242136255e-05,2.700000004551839e-05,2.8000000384054147e-05,2.8000000384054147e-05,1081101278,12.765439375863266,-4.08162591309035e-07,-2.199415699655379e-07,0.0,0.0,-3654507919.0
8,2022-01-09,2.8000000384054147e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.8000000384054147e-05,2.8000000384054147e-05,741130328,12.765439375863266,-4.769857991305859e-07,-2.7932006210566064e-07,0.0,0.0,0.0
9,2022-01-10,2.8000000384054147e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.700000004551839e-05,2.700000004551839e-05,1044022667,10.894786430179195,-5.703768957606333e-07,-3.4453368867038096e-07,0.0,0.0,-4698530586.0
10,2022-01-11,2.700000004551839e-05,2.8000000384054147e-05,2.5999999706982635e-05,2.8000000384054147e-05,2.8000000384054147e-05,856528185,23.04004929677906,-5.765881271871684e-07,-3.953058738736263e-07,0.0,0.0,-3842002401.0
11,2022-01-12,2.8000000384054147e-05,3.199999991920777e-05,2.8000000384054147e-05,3.199999991920777e-05,3.199999991920777e-05,1541810685,51.51056791366362,-3.535737058948447e-07,-3.863435543713314e-07,0.0,0.0,-2300191716.0
12,2022-01-13,3.199999991920777e-05,3.300000025774352e-05,2.9000000722589903e-05,2.9999999242136255e-05,2.9999999242136255e-05,1435576624,42.95417261029239,-2.96466248363677e-07,-3.673223938092081e-07,0.0,0.0,-3735768340.0
13,2022-01-14,2.9999999242136255e-05,3.199999991920777e-05,2.9000000722589903e-05,3.099999958067201e-05,3.099999958067201e-05,1538750911,47.63764892709872,-1.919138871679191e-07,-3.306268033448015e-07,0.0,0.0,-2197017429.0
14,2022-01-15,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,3.099999958067201e-05,697319385,47.63764892709872,-1.1061705891483295e-07,-2.8502021529516735e-07,0.0,0.0,0.0
15,2022-01-16,3.099999958067201e-05,3.099999958067201e-05,2.9999999242136255e-05,3.099999958067201e-05,3.099999958067201e-05,613620998,47.63764892709872,-4.753919155909547e-08,-2.3614839098705982e-07,0.0,0.0,0.0
16,2022-01-17,3.099999958067201e-05,3.099999958067201e-05,2.8000000384054147e-05,2.9000000722589903e-05,2.9000000722589903e-05,758868918,39.530620015721276,-1.2261259947195317e-07,-2.129181337958891e-07,0.0,0.0,-2955886347.0
17,2022-01-18,2.9000000722589903e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.8000000384054147e-05,2.8000000384054147e-05,817784966,36.212269707080864,-2.416513582675003e-07,-2.1877020014553784e-07,0.0,0.0,-3773671313.0
18,2022-01-19,2.8000000384054147e-05,2.8000000384054147e-05,2.700000004551839e-05,2.700000004551839e-05,2.700000004551839e-05,644592746,33.210047802164055,-3.943433498535909e-07,-2.5439828490067536e-07,0.0,0.0,-4418264059.0
19,2022-01-20,2.700000004551839e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.5999999706982635e-05,2.5999999706982635e-05,380410746,30.487971721515237,-5.724560123250693e-07,-3.18751775619011e-07,3.465050393468684e-05,2.524949615282256e-05,-4798674805.0
20,2022-01-21,2.5999999706982635e-05,2.700000004551839e-05,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,1422249920,22.532247113246825,-9.678466658532303e-07,-4.4977926898421865e-07,3.4866482366906185e-05,2.383351767815819e-05,-6220924725.0
